0,88,34,100,92,97,74,72,62,46,100,24,89,3,31,0,3
32,85,60,100,88,81,47,59,81,43,100,15,54,0,0,4,3
24,84,6,80,0,35,31,0,79,11,100,53,77,92,27,100,0
45,85,75,100,70,63,43,29,5,4,0,1,50,0,100,0,2
0,61,34,68,68,82,100,100,100,87,81,58,63,30,50,0,1
100,81,58,64,29,89,74,100,87,65,91,29,63,0,0,9,9
31,100,0,67,2,26,42,0,86,20,100,60,73,93,25,85,0
0,89,21,72,62,94,11,100,57,73,100,45,74,13,9,0,9
42,99,8,69,0,28,39,0,85,24,100,64,74,100,21,85,0
55,77,45,66,100,88,49,100,0,78,69,63,70,32,59,0,9
45,100,34,78,0,51,37,50,95,51,100,62,73,32,57,0,4
38,100,40,90,0,63,36,46,93,47,100,59,63,31,40,0,4
44,85,76,100,79,70,54,41,23,16,0,0,50,5,100,1,2
0,81,23,100,73,96,52,46,26,0,12,19,46,42,100,48,7
0,58,35,62,70,83,100,100,91,74,82,49,74,23,78,0,1
0,79,23,100,66,78,66,39,56,0,30,1,41,27,100,29,7
100,51,72,100,0,88,28,42,77,0,2,11,5,55,78,82,8
24,91,49,100,68,84,51,59,78,37,100,15,56,1,0,0,3
75,100,41,69,0,39,45,30,100,37,92,65,55,33,23,0,4
44,75,90,100,83,86,67,46,51,6,0,0,27,3,100,2,1
40,100,16,70,0,33,20,0,70,13,100,45,88,82,37,85,0
52,69,82,100,75,76,61,35,47,0,0,8,50,7,100,8,1
38,100,12,67,19,9,62,0,100,30,83,82,39,91,0,66,0
30,91,0,50,57,54,62,19,2,0,2,52,28,96,100,100,5
0,62,27,73,66,90,100,100,80,74,59,48,42,21,36,0,1
80,100,27,78,0,42,21,6,99,8,100,37,19,30,10,0,6
16,98,75,100,48,94,0,72,55,58,100,33,77,4,18,0,5
48,100,31,64,3,31,0,21,62,16,100,35,93,37,89,0,4
21,74,30,100,72,77,66,36,31,2,0,14,52,24,100,0,2
0,69,26,77,92,97,100,100,76,75,55,50,39,25,29,0,1
17,100,0,60,12,16,59,0,100,27,95,70,51,93,15,63,0
35,98,60,100,47,63,25,30,0,4,34,2,68,0,100,3,2
27,90,64,100,67,70,37,43,0,22,12,18,64,19,100,0,2
79,100,35,86,60,67,100,85,89,71,70,43,40,19,0,0,9
0,56,76,49,100,11,31,0,45,39,95,73,71,100,11,74,8
0,51,51,75,90,100,56,92,46,66,51,40,77,15,100,0,1
31,65,0,88,40,100,68,72,56,32,28,0,57,1,100,6,2
36,100,84,94,51,53,28,92,81,80,100,29,51,0,0,31,9
2,100,58,99,63,67,38,34,19,0,0,32,42,44,100,44,7
0,90,45,100,85,88,57,64,69,40,100,17,67,1,17,0,3
63,78,59,100,100,94,70,68,91,48,94,27,48,12,0,0,3
